price,area,rooms,has_dishwasher,has_fridge,has_stove,has_oven,has_basement,has_balcony,has_terrace,has_garden,has_parking,has_elevator,has_security,lat,lon,building_material_BREEZEBLOCK,building_material_BRICK,building_material_CELLULAR_CONCRETE,building_material_CONCRETE,building_material_CONCRETE_PLATE,building_material_OTHER,building_material_REINFORCED_CONCRETE,building_material_SILIKAT,building_material_unknown,ownership_FULL_OWNERSHIP,ownership_LIMITED_OWNERSHIP,ownership_SHARE,ownership_USUFRUCT,ownership_unknown,condition_READY_TO_USE,condition_TO_COMPLETION,condition_TO_RENOVATION,condition_unknown,heating_type_BOILER_ROOM,heating_type_ELECTRICAL,heating_type_GAS,heating_type_OTHER,heating_type_TILED_STOVE,heating_type_URBAN,heating_type_unknown,building_type_APARTMENT,building_type_BLOCK,building_type_HOUSE,building_type_INFILL,building_type_LOFT,building_type_RIBBON,building_type_TENEMENT,building_type_unknown,windows_type_ALUMINIUM,windows_type_PLASTIC,windows_type_WOODEN,windows_type_unknown,building_age_category_communist,building_age_category_modern,building_age_category_new,building_age_category_prewar,building_age_category_unknown
885000,51.52,2,1,1,1,1,0,1,0,0,0,1,1,52.25347683379,21.081767276721,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
569000,33.0,2,0,0,0,0,1,1,0,0,0,1,0,50.012507,19.95322,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
380000,28.0,1,1,1,1,0,0,0,0,0,0,1,1,51.7779682,19.4443363,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
699000,75.32,3,1,1,1,1,1,0,0,1,0,0,0,54.190977217095,15.669599310264,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
348000,32.09,1,0,0,0,0,0,0,0,0,0,0,1,52.4227,16.9139,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1335960,111.33,4,0,0,0,0,0,0,1,1,0,0,0,50.1043419,19.9529853,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2080000,90.0,3,1,1,1,0,1,0,0,0,0,0,1,50.054332095057,19.947404857672,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
785021,80.93,4,0,0,0,0,0,0,0,1,0,1,1,53.044475,18.6015967,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
745000,62.11,3,0,0,0,0,0,1,0,0,0,1,0,53.1267117,23.1759419,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
459000,71.4,4,0,0,0,0,0,1,0,0,0,0,0,50.84493,19.12655,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
398125,45.5,2,0,0,0,0,0,1,1,1,0,1,1,49.898575,19.01654,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
